,id,partner_id,participant_id,type_of_product,date,currency,qty,unit_price,unit,total
0,0,29,,Lait de vache,2024-02-23,HTG,10,549.9283637198047,gallon,5499.283637198047
1,1,127,,Oeufs,2026-01-21,HTG,9785,171.65130649383192,douzaine,1679608.0340421454
2,2,205,,Viande de bovin,2024-10-30,HTG,4359,636.6165762117322,lb,2775011.6557069407
3,3,191,,Volaille,2026-09-08,HTG,4339,801.2820040693447,animal,3476762.6156568867
4,4,212,,Viande de bovin,2025-01-15,HTG,4359,636.6165762117322,lb,2775011.6557069407
5,5,12,,Oeufs,2026-11-26,HTG,9785,171.65130649383192,douzaine,1679608.0340421454
6,6,32,,Viande de chèvre,2024-08-05,HTG,386,791.7405445468829,lb,305611.8501950968
7,7,110,,Viande de mouton,2027-01-10,HTG,1548,661.9540283847722,lb,1024704.8359396274
8,8,65,,Bovin entier,2027-08-12,HTG,11,97964.05501771526,animal,1077604.6051948678
9,9,130,,Bovin entier,2024-05-04,HTG,11,97964.05501771526,animal,1077604.6051948678
10,10,55,,Oeufs,2027-09-27,HTG,9785,171.65130649383192,douzaine,1679608.0340421454
11,11,158,,Lait de vache,2027-05-27,HTG,10,549.9283637198047,gallon,5499.283637198047
12,12,100,,Mouton entier,2027-08-04,HTG,23,28517.43567928129,animal,655901.0206234697
13,13,234,,Volaille,2026-01-05,HTG,4339,801.2820040693447,animal,3476762.6156568867
14,14,230,,Viande de chèvre,2024-04-08,HTG,386,791.7405445468829,lb,305611.8501950968
15,15,7,,Viande de bovin,2024-07-18,HTG,4359,636.6165762117322,lb,2775011.6557069407
16,16,135,,Bovin entier,2025-07-15,HTG,11,97964.05501771526,animal,1077604.6051948678
17,17,72,,Bovin entier,2025-07-14,HTG,11,97964.05501771526,animal,1077604.6051948678
18,18,148,,Bovin entier,2026-09-13,HTG,11,97964.05501771526,animal,1077604.6051948678
19,19,3,,Viande de mouton,2026-01-02,HTG,1548,661.9540283847722,lb,1024704.8359396274
20,20,44,,Bovin entier,2025-01-28,HTG,11,97964.05501771526,animal,1077604.6051948678
21,21,43,,Mouton entier,2026-05-14,HTG,23,28517.43567928129,animal,655901.0206234697
22,22,120,,Bovin entier,2025-06-08,HTG,11,97964.05501771526,animal,1077604.6051948678
23,23,185,,Viande de mouton,2024-02-22,HTG,1548,661.9540283847722,lb,1024704.8359396274
24,24,150,,Bovin entier,2025-11-23,HTG,11,97964.05501771526,animal,1077604.6051948678
25,25,227,,Oeufs,2025-02-16,HTG,9785,171.65130649383192,douzaine,1679608.0340421454
26,26,19,,Oeufs,2027-03-22,HTG,9785,171.65130649383192,douzaine,1679608.0340421454
27,27,126,,Viande de bovin,2026-07-25,HTG,4359,636.6165762117322,lb,2775011.6557069407
28,28,208,,Oeufs,2027-04-23,HTG,9785,171.65130649383192,douzaine,1679608.0340421454
29,29,64,,Viande de chèvre,2026-09-19,HTG,386,791.7405445468829,lb,305611.8501950968
30,30,22,,Oeufs,2025-02-07,HTG,9785,171.65130649383192,douzaine,1679608.0340421454
31,31,228,,Volaille,2027-11-04,HTG,4339,801.2820040693447,animal,3476762.6156568867
32,32,109,,Bovin entier,2025-11-04,HTG,11,97964.05501771526,animal,1077604.6051948678
33,33,153,,Bovin entier,2024-03-24,HTG,11,97964.05501771526,animal,1077604.6051948678
34,34,60,,Mouton entier,2024-03-30,HTG,23,28517.43567928129,animal,655901.0206234697
35,35,170,,Lait de vache,2027-08-31,HTG,10,549.9283637198047,gallon,5499.283637198047
36,36,200,,Oeufs,2024-03-05,HTG,9785,171.65130649383192,douzaine,1679608.0340421454
37,37,212,,Bovin entier,2025-06-12,HTG,11,97964.05501771526,animal,1077604.6051948678
38,38,121,,Oeufs,2027-08-01,HTG,9785,171.65130649383192,douzaine,1679608.0340421454
39,39,202,,Mouton entier,2027-12-19,HTG,23,28517.43567928129,animal,655901.0206234697
40,40,47,,Mouton entier,2026-12-23,HTG,23,28517.43567928129,animal,655901.0206234697
41,41,156,,Lait de vache,2025-04-12,HTG,10,549.9283637198047,gallon,5499.283637198047
42,42,55,,Oeufs,2026-10-29,HTG,9785,171.65130649383192,douzaine,1679608.0340421454
43,43,75,,Viande de chèvre,2026-01-04,HTG,386,791.7405445468829,lb,305611.8501950968
44,44,40,,Viande de mouton,2024-02-05,HTG,1548,661.9540283847722,lb,1024704.8359396274
45,45,144,,Volaille,2024-06-13,HTG,4339,801.2820040693447,animal,3476762.6156568867
46,46,62,,Viande de chèvre,2027-02-27,HTG,386,791.7405445468829,lb,305611.8501950968
47,47,209,,Bovin entier,2025-02-16,HTG,11,97964.05501771526,animal,1077604.6051948678
48,48,149,,Viande de mouton,2024-02-15,HTG,1548,661.9540283847722,lb,1024704.8359396274
49,49,106,,Mouton entier,2025-03-06,HTG,23,28517.43567928129,animal,655901.0206234697
50,50,148,,Viande de mouton,2024-11-02,HTG,1548,661.9540283847722,lb,1024704.8359396274
51,51,76,,Volaille,2027-04-19,HTG,4339,801.2820040693447,animal,3476762.6156568867
52,52,122,,Volaille,2025-10-14,HTG,4339,801.2820040693447,animal,3476762.6156568867
53,53,97,,Viande de mouton,2027-02-27,HTG,1548,661.9540283847722,lb,1024704.8359396274
54,54,212,,Viande de bovin,2026-09-24,HTG,4359,636.6165762117322,lb,2775011.6557069407
55,55,89,,Lait de vache,2024-01-23,HTG,10,549.9283637198047,gallon,5499.283637198047
56,56,79,,Viande de bovin,2026-08-16,HTG,4359,636.6165762117322,lb,2775011.6557069407
57,57,144,,Lait de vache,2024-11-02,HTG,10,549.9283637198047,gallon,5499.283637198047
58,58,220,,Mouton entier,2026-09-01,HTG,23,28517.43567928129,animal,655901.0206234697
59,59,12,,Lait de vache,2025-11-13,HTG,10,549.9283637198047,gallon,5499.283637198047
60,60,135,,Viande de bovin,2027-10-14,HTG,4359,636.6165762117322,lb,2775011.6557069407
61,61,192,,Bovin entier,2025-09-11,HTG,11,97964.05501771526,animal,1077604.6051948678
62,62,221,,Viande de bovin,2027-05-16,HTG,4359,636.6165762117322,lb,2775011.6557069407
63,63,40,,Viande de bovin,2026-04-21,HTG,4359,636.6165762117322,lb,2775011.6557069407
64,64,190,,Mouton entier,2025-06-28,HTG,23,28517.43567928129,animal,655901.0206234697
65,65,211,,Oeufs,2026-01-25,HTG,9785,171.65130649383192,douzaine,1679608.0340421454
66,66,197,,Lait de vache,2027-01-28,HTG,10,549.9283637198047,gallon,5499.283637198047
67,67,87,,Viande de bovin,2025-05-02,HTG,4359,636.6165762117322,lb,2775011.6557069407
68,68,79,,Bovin entier,2025-04-30,HTG,11,97964.05501771526,animal,1077604.6051948678
69,69,58,,Mouton entier,2027-02-25,HTG,23,28517.43567928129,animal,655901.0206234697
70,70,94,,Mouton entier,2026-03-30,HTG,23,28517.43567928129,animal,655901.0206234697
71,71,87,,Oeufs,2027-05-04,HTG,9785,171.65130649383192,douzaine,1679608.0340421454
72,72,176,,Lait de vache,2024-10-04,HTG,10,549.9283637198047,gallon,5499.283637198047
73,73,63,,Lait de vache,2027-08-19,HTG,10,549.9283637198047,gallon,5499.283637198047
74,74,29,,Viande de chèvre,2024-01-27,HTG,386,791.7405445468829,lb,305611.8501950968
75,75,197,,Lait de vache,2025-06-20,HTG,10,549.9283637198047,gallon,5499.283637198047
76,76,207,,Bovin entier,2025-12-23,HTG,11,97964.05501771526,animal,1077604.6051948678
77,77,49,,Oeufs,2025-02-10,HTG,9785,171.65130649383192,douzaine,1679608.0340421454
78,78,201,,Viande de mouton,2026-12-15,HTG,1548,661.9540283847722,lb,1024704.8359396274
79,79,66,,Oeufs,2025-08-07,HTG,9785,171.65130649383192,douzaine,1679608.0340421454
80,80,173,,Oeufs,2026-05-29,HTG,9785,171.65130649383192,douzaine,1679608.0340421454
81,81,99,,Viande de bovin,2025-12-09,HTG,4359,636.6165762117322,lb,2775011.6557069407
82,82,38,,Volaille,2025-03-04,HTG,4339,801.2820040693447,animal,3476762.6156568867
83,83,157,,Volaille,2025-05-12,HTG,4339,801.2820040693447,animal,3476762.6156568867
84,84,122,,Viande de chèvre,2026-05-20,HTG,386,791.7405445468829,lb,305611.8501950968
85,85,215,,Viande de bovin,2026-08-07,HTG,4359,636.6165762117322,lb,2775011.6557069407
86,86,87,,Lait de vache,2027-12-12,HTG,10,549.9283637198047,gallon,5499.283637198047
