,id,partner_id,participant_id,type_of_product,date,currency,qty,unit_price,unit,total
0,0,223,,Viande de bovin,2026-10-20,HTG,5505,581.3447171631553,lb,3200302.66798317
1,1,221,,Volaille,2024-10-25,HTG,4553,869.475331749162,animal,3958721.1854539346
2,2,97,,Mouton entier,2027-08-13,HTG,22,38166.94915005489,animal,839672.8813012076
3,3,115,,Volaille,2027-12-27,HTG,4553,869.475331749162,animal,3958721.1854539346
4,4,128,,Oeufs,2027-12-29,HTG,2242,160.4513481202536,douzaine,359731.9224856086
5,5,202,,Viande de bovin,2025-04-30,HTG,5505,581.3447171631553,lb,3200302.66798317
6,6,225,,Volaille,2026-03-08,HTG,4553,869.475331749162,animal,3958721.1854539346
7,7,1,,Viande de mouton,2026-04-05,HTG,1374,615.4647874676276,lb,845648.6179805204
8,8,136,,Viande de chèvre,2025-07-30,HTG,500,742.9547770402444,lb,371477.3885201222
9,9,225,,Volaille,2027-09-05,HTG,4553,869.475331749162,animal,3958721.1854539346
10,10,209,,Volaille,2025-07-27,HTG,4553,869.475331749162,animal,3958721.1854539346
11,11,205,,Viande de chèvre,2024-02-22,HTG,500,742.9547770402444,lb,371477.3885201222
12,12,221,,Viande de mouton,2024-08-31,HTG,1374,615.4647874676276,lb,845648.6179805204
13,13,100,,Viande de mouton,2026-09-22,HTG,1374,615.4647874676276,lb,845648.6179805204
14,14,144,,Lait de vache,2027-10-15,HTG,18,455.0654177795309,gallon,8191.177520031556
15,15,82,,Lait de vache,2024-07-29,HTG,18,455.0654177795309,gallon,8191.177520031556
16,16,120,,Mouton entier,2024-07-21,HTG,22,38166.94915005489,animal,839672.8813012076
17,17,46,,Viande de bovin,2024-02-04,HTG,5505,581.3447171631553,lb,3200302.66798317
18,18,22,,Mouton entier,2024-05-24,HTG,22,38166.94915005489,animal,839672.8813012076
19,19,108,,Oeufs,2025-03-14,HTG,2242,160.4513481202536,douzaine,359731.9224856086
20,20,152,,Oeufs,2026-07-16,HTG,2242,160.4513481202536,douzaine,359731.9224856086
21,21,13,,Lait de vache,2027-03-25,HTG,18,455.0654177795309,gallon,8191.177520031556
22,22,86,,Volaille,2025-11-20,HTG,4553,869.475331749162,animal,3958721.1854539346
23,23,81,,Oeufs,2024-08-25,HTG,2242,160.4513481202536,douzaine,359731.9224856086
24,24,217,,Viande de bovin,2027-07-19,HTG,5505,581.3447171631553,lb,3200302.66798317
25,25,101,,Viande de bovin,2027-03-16,HTG,5505,581.3447171631553,lb,3200302.66798317
26,26,88,,Mouton entier,2027-04-25,HTG,22,38166.94915005489,animal,839672.8813012076
27,27,24,,Viande de mouton,2025-11-08,HTG,1374,615.4647874676276,lb,845648.6179805204
28,28,212,,Viande de bovin,2024-06-06,HTG,5505,581.3447171631553,lb,3200302.66798317
29,29,192,,Bovin entier,2027-06-28,HTG,9,130414.60577238933,animal,1173731.451951504
30,30,105,,Viande de chèvre,2026-08-01,HTG,500,742.9547770402444,lb,371477.3885201222
31,31,52,,Volaille,2027-04-30,HTG,4553,869.475331749162,animal,3958721.1854539346
32,32,63,,Viande de bovin,2027-06-28,HTG,5505,581.3447171631553,lb,3200302.66798317
33,33,68,,Volaille,2026-04-27,HTG,4553,869.475331749162,animal,3958721.1854539346
34,34,222,,Bovin entier,2027-11-12,HTG,9,130414.60577238933,animal,1173731.451951504
35,35,59,,Lait de vache,2027-01-24,HTG,18,455.0654177795309,gallon,8191.177520031556
36,36,140,,Viande de chèvre,2027-04-24,HTG,500,742.9547770402444,lb,371477.3885201222
